name,sku,category,unit,price,supplier
J-фаска ПВХ Docke пломбир 3 м,М-53,Стеновые и фасадные материалы,шт,977.00,
Подложка Knauf 80х6 мм 20 м для пазогребневой плиты полимерная,М-54,Стеновые и фасадные материалы,рул,2256.00,Knauf
Газобетон Bonolit 400х250х600 мм D500,М-55,Стеновые и фасадные материалы,шт,450.00,Bonolit
Подложка Knauf 100х6 мм 20 м для пазогребневой плиты полимерная,М-56,Стеновые и фасадные материалы,рул,2753.00,Knauf
"Профнастил С20 1,15х2 м 0,35 мм светло-серый RAL 7004",М-57,Стеновые и фасадные материалы,л.,1297.00,
"Профнастил С20R 1,15х2 м 0,45 мм коричневый RAL 8017",М-58,Стеновые и фасадные материалы,л.,1432.00,
Пазогребневая плита Knauf 667х500х100 мм полнотелая,М-59,Стеновые и фасадные материалы,шт,487.00,Knauf
J-профиль ПВХ Docke графит RAL 7024 3 м,М-60,Стеновые и фасадные материалы,шт,432.00,
Блок керамзитобетонный пустотелый СКЦ 188х190х390 мм,М-61,Стеновые и фасадные материалы,шт,121.00,
Газобетонная перемычка Poritep 100х250х2000 мм D600,М-62,Стеновые и фасадные материалы,шт,1578.00,Poritep
Пазогребневая плита Гипсополимер Гидро 667х500х100 мм полнотелая,М-63,Стеновые и фасадные материалы,шт,532.00,Гипсополимер
"Профнастил С20 1,15х2 м 0,35 мм коричневый RAL 8017",М-64,Стеновые и фасадные материалы,л.,1235.00,
J-фаска ПВХ Docke шоколад 3 м,М-65,Стеновые и фасадные материалы,шт,1338.00,
Планка финишная Docke 3000 мм пломбир,М-66,Стеновые и фасадные материалы,шт,261.00,Docke
Сайдинг хризотилцементный Фибратек 3000х190 мм серый под покраску КПП,М-67,Стеновые и фасадные материалы,шт,608.00,Фибратек
Профиль стартовый Docke 3000 мм,М-68,Стеновые и фасадные материалы,шт,193.00,Docke
Блок керамзитобетонный перегородочный пустотелый ПКЦ 90х188х390 мм,М-69,Стеновые и фасадные материалы,шт,72.00,
Блок керамзитобетонный полнотелый ПСКЦ 188х190х390 мм,М-70,Стеновые и фасадные материалы,шт,164.00,
J-фаска ПВХ Docke графит 3 м,М-71,Стеновые и фасадные материалы,шт,977.00,
"Профнастил С8 1,2х2 м 0,33 мм зеленый RAL 6005",М-72,Стеновые и фасадные материалы,л.,1107.00,
"Искусственный камень White Hills Лондон Брик микс (60 шт.=1,16 кв.м)",М-73,Стеновые и фасадные материалы,упак,2129.00,White Hills
"Профнастил С8 1,2х2 м 0,45 мм двухсторонний графитовый серый RAL 7024",М-74,Стеновые и фасадные материалы,л.,1801.00,
Газобетон Poritep 400х250х625 мм D500,М-75,Стеновые и фасадные материалы,шт,446.88,Poritep
Кирпич облицовочный пустотелый красный М150/200 250х120х65 мм 1NF ВКЗ,М-76,Стеновые и фасадные материалы,шт,29.40,Вышневолоцкая Керамика
Панель фасадная гибкая Технониколь Hauberk 1000х250 мм кирпич готический 2 кв.м,М-77,Стеновые и фасадные материалы,упак,1704.00,Технониколь
"Искусственный камень White Hills Фьорд Лэнд черно-серый (24 шт.=0,8 кв.м)",М-78,Стеновые и фасадные материалы,упак,1813.00,White Hills
Кирпич печной облицовочный полнотелый красный М400 250х120х65 мм 1NF ЛСР (РКЗ),М-79,Стеновые и фасадные материалы,шт,114.00,ЛСР
H-профиль соединительный Docke 3000 мм пломбир,М-80,Стеновые и фасадные материалы,шт,612.00,Docke
"Профнастил НС44 1,07х3 м 0,7 мм оцинкованный",М-81,Стеновые и фасадные материалы,л.,2543.00,
Газобетон Poritep 250х250х625 мм D500,М-82,Стеновые и фасадные материалы,шт,279.30,Poritep
Софит ПВХ перфорированный Docke Standard пломбир 3000х305 мм,М-83,Стеновые и фасадные материалы,шт,438.00,
Кирпич печной облицовочный полнотелый коричневый М400 250х120х65 мм 1NF ЛСР (РКЗ),М-84,Стеновые и фасадные материалы,шт,121.00,ЛСР
"Профнастил С8 1,2х2 м 0,45 мм зеленый RAL 6005",М-85,Стеновые и фасадные материалы,л.,1602.00,
Угол наружный металлический полиэстер Технониколь Hauberk 1250 мм серый RAL 7004,М-86,Стеновые и фасадные материалы,шт,253.00,Технониколь
Панель фасадная Альта-Профиль Фагот Эко 1020х430 мм графит,М-87,Стеновые и фасадные материалы,шт,614.00,Альта Профиль
Панель фасадная гибкая Технониколь Hauberk Оптима 1000х250 мм кирпич шотландский 2 кв.м,М-88,Стеновые и фасадные материалы,упак,1391.00,Технониколь
Сайдинг Nordside Лапландия 3050х205 мм магнолия,М-89,Стеновые и фасадные материалы,шт,211.00,Nordside
Софит ПВХ сплошной Docke Standard шоколад 3000х305 мм,М-90,Стеновые и фасадные материалы,шт,504.00,
